Source,Page,Technologies,Description,
"Jakarta, Indonesia",37,Perencanaan dan pengelolaan air bersih,"""Perencanaan Pengelolaan Air Bersih"" berfungsi untuk mengoptimalkan pemanfaatan sumber air baku dan meningkatkan kualitas air.",
"Jakarta, Indonesia",38,Eco-friendly sanitation practices,"""Penerapan Eco-Masjid"" and ""Sosialisasi Eco-kampung (up-scaling eco-masjid) melalui institusi keagamaan"" promote environmentally friendly practices related to sanitation and water management.",
"Jakarta, Indonesia",39,"Financing system, community contribution schemes","This strategy “mendorong adanya pengembangan sistem pembiayaan berkelanjutan yang mendukung terlaksananya pembangunan dan pemeliharaan SPALD."" The financing system includes community contributions to share operational and maintenance costs, ensuring the facilities can operate sustainably.",
"Jakarta, Indonesia",40,Teknologi Waste to Energy,"""Edukasi dapat diwujudkan melalui pelatihan, pengenalan konsep waste to energy, dan kampanye publik yang mengarusutamakan prinsip zero waste.""",
"Jakarta, Indonesia",41,"Waste processing technology, waste-to-energy (WTE) systems, advanced waste treatment infrastructure","""Pemanfaatan teknologi menjadi penting guna meningkatkan efektivitas dan efisiensi pengolahan sampah, termasuk menjaga kualitas lingkungan dari residu proses pengolahan sampah."" The strategy promotes the availability of infrastructure at various government levels, focusing on ""teknologi tepat guna yang bercirikan mudah diperoleh, mudah digunakan, dan terjangkau"" for community-level waste processing and advanced technology for large-scale urban waste management.",
"Jakarta, Indonesia",42,"Infrastructure for non-motorized transport, bike-sharing systems, skywalks","""Strategi ini akan mendorong pembangunan infrastruktur transportasi dan ruang publik yang mengedepankan konsep NMT.""",
"Jakarta, Indonesia",43,"Policy frameworks, mobility management systems","""Strategi ini mendorong adanya pengembangan skema insentif dan disinsentif yang lebih banyak di masa depan."" These policies are intended to encourage public transport use while limiting private vehicle usage.",
"Jakarta, Indonesia",44,"BRT, MRT, LRT","""Salah satu cara untuk mewujudkan kota kompak dapat dilakukan dengan pendekatan Transit Oriented Development (TOD) yang fokus pada pengembangan kawasan campuran (mixed use development) dan optimalisasi penggunaan angkutan massal (BRT, MRT, LRT).""",
"Jakarta, Indonesia",45,"Emergency Response Systems, Integrated Information Systems","""Integrasi sistem data dan informasi aplikasi tanggap darurat dengan Jakarta Smart City.""",
"Jakarta, Indonesia",46,"Real-time information systems, integrated transport systems, electronic signs","""Strategi ini ingin memastikan dan mendorong adanya perbaikan pelayanan secara menyeluruh di setiap sistem transportasi publik yang ada baik dari sisi pelayanan, aksesibilitas, dan reliabilitas yang diwujudkan melalui peningkatan keterhubungan antarmoda, penyediaan informasi pergerakan yang termutakhirkan secara realtime.""",
"Jakarta, Indonesia",48,"Data visualization, decision support systems","""Mendorong Pengembangan Dashboard Pengambilan Keputusan Terpadu"" refers to the development of an integrated decision-making dashboard to support planning and response efforts in the context of climate resilience.",
"Jakarta, Indonesia",49,City Resilience Index (CRI),"""Evaluasi akan dilaksanakan dengan menggunakan City Resilience Index (CRI) yang sudah dikembangkan oleh 100RC dan Arup."" The CRI is utilized for monitoring and evaluation of Jakarta's urban resilience strategies against various shocks and stresses.",
"Jakarta, Indonesia",51,Data analysis technology,"""Evaluasi dan Analisis Risiko Bencana DKI Jakarta secara berkala.""",
"Jakarta, Indonesia",52,"smart city technologies, collaborative platforms","""Peningkatan kerjasama dan investasi yang mendukung Jakarta Smart City"" indicates fostering partnerships and investments to enhance the capabilities of smart city initiatives, which are critical for urban adaptation to climate impacts.",
"Jakarta, Indonesia",53,Groundwater monitoring systems,"""Pembangunan Sumur Pantau yang tepat lokasi"" focuses on monitoring groundwater levels and ensuring sustainable use of groundwater resources.",
"Jakarta, Indonesia",54,"Certification systems, building assessment technology","""Sertifikasi aman bencana bagi bangunan dan gedung"" provides a way to assess and certify buildings for disaster safety, involving technology to evaluate compliance with safety standards and resilience measures.",
"Jakarta, Indonesia",55,Standards implementation,"""Penerapan Standar Layak Fungsi.""",
"Jakarta, Indonesia",56,Green building standards,"""Pengetatan Skema Bangunan Gedung Hijau dengan memasukkan lebih banyak gedung termasuk rumah berukuran besar"" suggests tightening green building schemes to include more buildings, including larger homes, thereby promoting better resource efficiency and urban climate resilience.",
"Jakarta, Indonesia",57,Waste management system design integration,"""Internalisasi Desain Besar Sistem Pengelolaan Sampah DKI Jakarta kedalam dokumen RPJMD dan RKPD"" is intended to integrate an overall waste management design into governmental planning documents to enhance waste management efficiency.",
"Jakarta, Indonesia",58,Investment technology systems,"""Penyusunan skema insentif bagi investor"" refers to the formulation of incentive schemes aimed at attracting investment in sustainable projects.",
"Jakarta, Indonesia",59,Standardization protocols,"""Standarisasi pelayanan di semua moda""",
"Jakarta, Indonesia",60,"Data information systems, integration of geological data","""Sebagai upaya untuk mengontrol penggunaan air tanah yang berlebihan di wilayah DKI Jakarta dalam rangka mengantisipasi dan merespon isu penurunan muka tanah.""",
"Jakarta, Indonesia",61,"Integrated mass transit systems, transportation analysis tools","""Menciptakan sistem transportasi massal berbasis rel dan non-rel yang terintegrasi yang melayani wilayah Jabodetabek"" and encourages citizens to be more active in walking or cycling to ""mengurangi penggunaan kendaraan bermotor di area-area tertentu di dalam kota Jakarta.""",
"Bangkok, Thailand",4,"Green infrastructure, Blue infrastructure, Pipes, Pumps","""Our new approach to water management will use green and blue infrastructure – parks and canals, as much as it uses the traditional protection of grey infrastructure – pipes and pumps.""",
